class,t-SNE1,t-SNE2
1,-9.250396,-5.3298063
1,-19.653555,10.414075
1,-12.078985,15.433448
1,-6.8697805,-9.387311
1,10.224839,10.4420395
1,5.812423,16.36982
1,-15.189972,14.811279
1,-7.902245,-2.6425605
1,11.934961,-5.551214
1,-0.032115467,20.57215
1,11.569721,-4.9157414
1,-6.8646464,20.344067
1,-16.554108,13.462669
1,1.0041751,23.015413
1,-15.021022,11.508615
1,12.161233,-4.2999644
1,-9.7389765,-5.0287285
1,-10.691093,-5.23455
1,-16.519405,11.973027
1,-7.310333,-5.0184693
1,-0.025400419,23.298973
1,6.4101334,20.33746
1,-2.0548472,20.345907
1,12.267666,-0.51592344
1,-9.767216,24.322704
1,-6.957256,4.1942997
1,-13.02534,12.914364
1,-19.277977,16.69763
1,-1.0147393,10.64384
1,0.47481194,9.510818
1,-13.99724,-4.932609
1,-13.378276,21.523554
1,-6.9733753,6.73477
1,6.152845,19.912245
1,5.084638,-2.4271302
1,5.319902,-3.092581
1,2.30841,13.460042
1,2.447744,13.817305
1,2.5229764,13.505319
1,2.615893,13.907391
1,-6.963313,-8.787694
1,-0.09860218,16.177864
1,-14.089317,-3.312632
1,-12.305819,15.91684
1,-9.940481,21.666716
1,-17.434832,15.552464
1,-9.994815,19.778915
1,-0.58308154,21.72841
1,-0.5136154,19.780613
1,-5.3482356,18.993048
1,-7.120849,-4.752659
1,-10.67712,12.658941
1,-22.754267,15.938251
1,-8.125454,22.876696
1,-7.118394,23.24129
1,12.028596,10.680415
1,-7.7372212,22.9998
1,12.309954,10.964268
1,-6.7153926,18.660755
1,2.7861807,23.053267
1,2.783449,4.819117
1,11.341954,8.036702
1,-7.1607966,16.984715
1,-16.48479,0.053663492
1,1.6610376,21.547869
1,1.8819346,22.804594
1,-13.124367,20.528835
1,-0.5567465,16.048967
1,-6.571349,18.87925
1,-13.187667,19.357645
1,-6.5058646,23.723017
1,17.20067,4.4210544
1,-13.819694,-7.974982
1,-15.349647,13.12056
1,18.122738,4.6571364
1,-6.4010453,12.91856
1,-6.0260777,13.924943
1,-5.1292663,13.10845
1,-3.1726136,1.9531268
1,-15.944664,-5.2698245
1,-7.1577516,14.355828
1,-9.801951,17.474586
1,-1.1499058,12.5630865
1,-11.68379,21.892992
1,-13.63748,-5.3756175
1,-10.326781,-3.0235207
1,-11.116579,17.436792
1,-14.4662695,21.868906
1,-17.2766,16.245373
1,-9.903914,16.368273
1,-7.4021926,18.161112
1,-20.512032,14.310681
1,-19.65709,14.598727
1,-12.818491,15.886159
1,10.288098,-2.556863
1,-1.0017233,16.692253
1,-5.801577,19.377321
1,-17.624603,17.118532
1,-5.198366,20.396803
1,-14.686987,18.61574
1,-18.638231,11.571805
0,6.1918554,-21.878626
0,-19.37511,19.55007
0,-21.569653,-1.115603
0,1.4158645,-17.10103
0,-0.31124693,-4.6294928
0,0.3461872,8.029501
0,6.0017204,-4.649977
0,8.484897,-15.625562
0,-11.509493,-14.491704
0,10.132053,4.0494647
0,13.784604,8.836345
0,1.3927556,-28.508398
0,17.6893,-22.105347
0,14.2283745,-15.01732
0,4.7419934,1.1534514
0,-14.467023,-16.454119
0,16.457747,-4.0718393
0,12.859581,-26.108881
0,0.037244022,18.339231
0,-0.80293924,-25.142471
0,-12.160315,-15.099421
0,2.4944823,-9.846421
0,4.705201,2.9023688
0,12.082731,4.4661984
0,-17.896423,-2.8982809
0,10.429888,-8.342272
0,6.705924,-15.582885
0,18.225637,-10.045147
0,-6.656973,-17.39509
0,8.421191,-14.605089
0,2.313458,-23.628298
0,9.148712,-24.20466
0,2.8342223,3.0039337
0,-1.2090435,-19.796553
0,5.176568,-27.314917
0,-8.596669,8.747576
0,-0.9868598,-5.885705
0,4.222792,3.1866891
0,1.7491497,-26.687439
0,12.676448,-26.100222
0,10.707451,-12.845427
0,-6.3198385,-12.823388
0,15.506365,10.142697
0,-0.14843954,-1.8932226
0,-11.681306,0.004808064
0,-10.280755,-16.213156
0,3.65644,-7.95728
0,19.256962,-11.063207
0,-12.837557,17.588972
0,18.816309,-1.9571832
0,4.798513,-16.931522
0,-7.5294123,5.8674283
0,-1.915555,10.731924
0,-6.8812017,-22.14038
0,11.971868,-20.89295
0,17.625694,-11.741286
0,4.08907,-8.3149805
0,14.868142,-8.373306
0,-9.558222,-12.867615
0,15.482282,-10.871925
0,-1.3425618,-13.933168
0,-16.119757,9.567101
0,-5.1382885,18.42529
0,-2.5154147,13.815066
0,6.1456733,8.621039
0,6.428337,3.5429797
0,-3.0765564,-17.176485
0,9.596429,-20.903732
0,-12.723105,-13.165011
0,-5.3218837,13.310381
0,19.383669,-7.8842125
0,5.7162657,-27.315546
0,14.694508,-5.1787405
0,3.489267,7.3548822
0,-3.937014,-22.053629
0,3.6957269,-23.353899
0,-13.259486,-17.236486
0,8.759984,5.3879156
0,-16.426378,-10.916226
0,-4.1289597,-20.614157
0,-3.943449,-22.22281
0,13.893781,-21.73925
0,13.501747,-11.9968815
0,-12.147741,13.331356
0,7.416615,15.177493
0,-12.740682,-13.095792
0,-2.0002801,-20.44609
0,3.4987838,-20.910229
0,14.752401,-24.837536
0,-2.7564807,22.443928
0,10.58049,-2.6421182
0,8.140063,-22.599699
0,19.810196,6.6974254
0,-20.69989,-5.358972
0,-10.367653,10.029509
0,-11.765236,-21.563572
0,13.046555,-10.600307
0,-17.529808,-8.333335
0,3.8009322,-18.936975
0,3.6669908,6.688474
0,-17.113459,-12.055866
0,6.936619,-5.0511107
0,11.686082,14.544254
0,7.7064724,-2.079855
0,-6.140055,-19.03458
0,-12.594784,8.425846
0,7.219096,-12.684977
0,-15.1900215,3.4500964
0,-2.7901895,9.259038
0,-0.1705923,-12.311613
0,14.788048,14.168141
0,17.400814,-0.68556994
0,-10.328667,8.971804
0,10.444847,-7.3114367
0,2.799449,-8.17844
0,6.6728954,-16.937727
0,-19.470182,1.6804444
0,-15.542638,6.7524495
0,-11.174724,4.386017
0,-15.99437,6.688191
0,-16.205368,10.574926
0,-6.297084,11.917649
0,8.424617,10.154295
0,-13.844578,9.014217
0,-4.0373187,10.038232
0,-2.3896053,-12.908514
0,-1.8037859,17.779837
0,9.377982,7.883772
0,-1.7213935,15.437886
0,0.16061296,1.555186
0,8.034386,-3.042744
0,-5.9299145,8.048798
0,0.14200494,-21.059984
0,-2.9011703,-25.516268
0,0.42394003,-28.410307
0,16.765648,2.2022364
0,16.082064,-17.688238
0,5.702682,-19.60177
0,16.890331,-17.726213
0,-2.4703584,-17.228966
0,16.474546,-1.6762898
0,10.909604,-18.333881
0,5.6314983,3.9113612
0,4.4561453,11.306818
0,-2.498373,4.211208
0,16.969694,11.294872
0,1.7915847,-24.704538
0,7.1250844,-10.03699
0,8.233659,3.6640522
0,1.8747796,5.726707
0,10.532624,-21.28336
0,-4.0534654,-18.720417
0,1.5020835,-6.4732456
0,2.144457,6.4440746
0,9.8112955,5.160795
0,-15.698044,2.8171363
0,12.215199,-17.936596
0,20.55567,-15.95822
0,-14.920688,-10.350149
0,11.541964,13.978863
0,-10.884071,17.030834
0,7.0703564,13.762829
0,-7.250695,-10.289487
0,2.6262796,-7.289561
0,-10.560959,-13.258224
0,-5.7893705,-17.475351
0,-15.692945,-10.56393
0,13.638365,14.367871
0,10.580997,-14.350211
0,-4.6770725,-15.488293
0,7.973208,15.214355
0,10.195057,-11.742282
0,8.44004,4.7952023
0,3.0893283,10.899772
0,5.7236085,10.181065
0,7.229464,-24.958105
0,4.0163083,10.539874
0,6.489522,0.63232565
0,-2.7434452,-10.045576
0,-0.28533852,8.432903
0,6.9008718,8.9068365
0,14.423311,-12.353009
0,9.737188,-4.935323
0,-9.089903,-13.2403555
0,12.453217,-20.778128
0,14.566406,-6.234482
0,-2.0408607,-1.3288608
0,-2.300417,8.575228
0,-2.6452024,24.352724
0,-12.842361,9.561951
0,-3.8084192,-4.519925
0,14.612257,0.24719806
0,-17.551918,-10.120835
0,1.7422607,-27.305685
0,6.2132773,9.946446
0,0.37549955,-16.156075
0,6.647546,-12.778595
0,0.009861941,-1.0133657
0,15.085291,-3.08452
0,-4.9263964,2.4692547
0,4.1657753,5.3106356
0,8.711364,-1.2892221
0,-9.833997,-3.353512
0,-14.208478,-6.460753
0,-5.7551055,0.8208745
0,15.900786,7.7660255
0,7.1497917,-22.83388
0,-7.503168,-20.909441
0,-13.0378895,10.915481
0,-5.0678563,16.6595
0,13.0435295,-8.007155
0,2.400195,-5.5939717
0,17.984882,-18.660221
0,-3.471663,-9.708048
0,1.1618459,-10.626162
0,-10.24061,-5.8031573
0,-16.938139,-0.06239985
0,-16.714315,-4.7402606
0,3.3944728,0.43462634
0,-6.1993165,-2.7001088
0,5.039731,-10.372016
0,11.202244,-15.932996
0,2.336575,-3.5271127
0,-6.4695973,9.274017
0,6.6186547,15.646464
0,-19.44891,3.7907915
0,1.2721496,-27.522774
0,-9.429879,1.4560128
0,19.597956,-16.230383
0,-18.55697,-3.348355
0,5.87975,6.42958
0,-15.903742,-13.708862
0,-15.535626,-12.919402
0,12.070667,6.7967563
0,-11.821783,-20.724577
0,5.270595,-14.048135
0,8.2062025,8.1021185
0,10.3009615,-22.527695
0,-9.368048,-16.2394
0,3.0271528,-11.280328
0,6.663136,-7.7687173
0,11.116883,-10.451854
0,-10.933678,4.537937
0,0.6350115,2.6175375
0,1.6632383,-16.226757
0,0.6382008,11.363833
0,4.8401756,8.181991
0,-3.5716019,-26.142286
0,-0.6472972,-13.308775
0,-6.0218983,-12.52976
0,-1.1733447,7.633718
0,17.49875,-5.198781
0,-9.132829,19.738031
0,3.6121354,8.675889
0,-0.23212643,-6.6119056
0,8.45115,-8.774448
0,2.497269,-14.017762
0,17.835606,-11.365098
0,8.705375,-23.180855
0,10.448612,8.565889
0,10.853563,6.6455464
0,-4.6681633,-20.990484
0,9.645622,16.47065
0,-15.609334,-12.971937
0,15.566028,-9.624214
0,9.998469,-25.62944
0,-17.534187,-7.24945
0,7.446385,10.776021
0,15.984879,-12.893653
0,15.034835,10.277488
0,10.410046,-16.804674
0,-0.5841339,-5.4396973
0,15.417623,-18.673477
0,-19.824034,-6.163107
0,12.70453,-22.444172
0,-5.1526556,-8.692947
0,3.689531,-13.84847
0,-8.508396,-14.124893
0,6.2747264,-17.738632
0,-0.69036776,9.230217
0,-5.5387163,2.075335
0,4.739665,13.988045
0,13.997474,-1.9677025
0,0.04620801,4.798468
0,10.448207,9.598643
0,-9.659578,-11.725795
0,-2.2445457,-25.91798
0,17.001656,-14.9124975
0,-23.28577,6.60309
0,14.365993,-7.020753
0,9.0013485,-11.288082
0,-12.138032,-11.315956
0,-6.8952713,-22.28884
0,-4.498358,8.544438
0,11.556364,-19.703135
0,3.761844,-23.97695
0,1.1151451,4.5575714
0,-4.4583297,-7.7486405
0,7.259508,7.758631
0,-20.249805,18.310177
0,-12.374127,-10.570691
0,12.653466,-16.461914
0,-14.529213,21.403782
0,-0.91775787,-7.557669
0,5.6398726,-19.589045
0,-12.813357,8.547079
0,-12.52403,6.762766
0,7.490386,1.1715844
0,-16.058792,22.30614
0,13.447053,-25.982151
0,-5.407784,-13.108929
0,0.051461894,-23.53565
0,-15.499324,20.467186
0,-16.95729,-14.870469
0,2.0165443,21.261408
0,-13.432873,1.150573
0,5.455313,22.682392
0,19.928238,-1.5151006
0,8.786295,-11.163042
0,4.896514,5.0743666
0,-4.0293555,-16.794323
0,-6.16472,8.668347
0,11.900095,-13.686041
0,-3.7041621,5.8698764
0,7.6152396,-15.771173
0,8.631737,-18.7485
0,-10.651297,-9.908811
0,10.578697,3.3800533
0,-10.060436,5.2575874
0,-10.150395,8.272173
0,10.238516,-5.6101074
0,1.5989658,18.19807
0,13.165792,-2.6263807
0,1.8480866,9.23607
0,9.158066,-18.013475
0,1.6346486,8.42486
0,20.05886,-11.316037
0,8.864747,-22.200943
0,-1.8221339,-10.20582
0,-4.7592797,16.977386
0,-4.5953445,-10.363313
0,-2.5740864,7.2275004
0,15.407356,-19.228092
0,-20.899035,2.2611442
0,7.4420147,11.141175
0,9.975869,5.719077
0,2.7594855,-13.239016
0,15.331791,0.5800539
0,13.493321,-7.6914587
0,-19.476439,-5.6595607
0,14.580744,-9.071895
0,13.697826,5.0746074
0,-0.724461,0.47059357
0,3.9966087,-14.82655
0,7.254618,-13.717222
0,-12.618433,2.980636
0,-4.2591305,5.9983706
0,14.379793,-2.7391508
0,3.604626,-15.454442
0,13.520811,-20.652729
0,-11.500586,-6.5416465
0,-21.412134,-6.0911493
0,-3.7416193,2.7416914
0,-20.455244,10.98733
0,1.9714333,-18.092901
0,2.0862784,-14.743529
0,-13.575616,-8.349359
0,0.3121179,2.7969167
0,-13.107885,-10.835354
0,-21.67691,10.570484
0,7.2525945,1.1898253
0,-1.2141432,2.9831245
0,-17.273806,4.2842526
0,-1.2825638,-23.113478
0,17.108242,-8.526849
0,9.416407,8.065308
0,17.971876,-8.637044
0,-0.7291504,-19.53644
0,-11.251995,-9.071952
0,11.898396,-18.084965
0,20.41591,-14.180965
0,11.865475,-10.573834
0,0.929495,26.088514
0,12.24415,-14.085024
0,9.635267,-1.6878268
0,-3.3574862,-13.551314
0,7.3316207,5.769216
0,-20.855413,-1.0693219
0,12.676475,8.280457
0,-12.174239,-20.979294
0,-14.700091,-16.379179
0,-12.257465,11.08683
0,-22.892487,2.2524838
0,-3.567526,-0.5388194
0,3.5904293,5.9755797
0,11.911131,2.4289649
0,-2.454854,-14.286007
0,1.6247065,9.733
0,-9.123385,-8.132701
0,-6.249965,-0.60426384
0,4.128038,-13.042136
0,1.5272701,-20.2702
0,-3.9491894,-3.3830733
0,-6.9169364,1.9360017
0,8.430125,-6.856426
0,13.751156,-19.201738
0,2.2039406,0.09156184
0,-13.739829,23.528126
0,2.8225713,2.340797
0,11.754382,-9.731995
0,13.910499,-14.171152
0,18.76139,-16.444857
0,-1.6061366,4.301013
0,10.250394,11.797159
0,11.533394,-21.087234
0,-9.186798,-18.34731
0,12.972464,6.581426
0,10.168186,11.259241
0,-7.3260264,-17.09728
0,9.045369,10.645448
0,8.43781,-21.349009
0,-6.145582,4.079828
0,-3.7196038,-4.7883377
0,1.7535373,-23.021431
0,17.278687,-21.459406
0,1.3519285,-8.138615
0,19.581608,-12.872444
0,-7.465468,4.4671826
0,-20.120106,2.0389378
0,-13.075865,-19.734415
0,2.2652748,-1.0990565
0,2.100706,-16.868608
0,-0.95855945,10.283661
