SMILES,PAMPA,cluster,LogP,Num_Atoms,MolWt,MaxAbsPartialCharge,MinAbsPartialCharge,MaxPartialCharge,MinPartialCharge,NumRotatableBonds,NumAliphaticRings,NumAromaticRings,TPSA,Nchiral,NumHDonors,NumHAcceptors,t-SNE1,t-SNE2
CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@H](C)C1=O,-5.31,1,2.4779000000000044,51,712.415962752,0.4535954749045175,0.0108917090430098,0.2456471486456008,-0.4535954749045175,11,3,1,166.69,4,3,8,15.109279,-45.31628
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,-5.12,1,2.500300000000005,49,682.441783576,0.3425058614330878,0.0016796288107185,0.2455554422014657,-0.3425058614330878,8,2,1,148.23000000000002,6,3,6,-15.599977,-13.59424
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,-5.6,1,2.491300000000008,56,779.49454742,0.3428000507863664,0.0016798283901974,0.2456755440274391,-0.3428000507863664,8,3,1,168.54,7,3,7,-24.76976,-24.556395
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.73,1,3.575900000000007,63,861.4788973560001,0.350975416880636,0.0016798283944581,0.2456756645195106,-0.350975416880636,8,3,3,159.75,6,2,7,-18.416573,-79.87173
CC(=O)N1CCC[C@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](Cc2cccc3ccccc23)C(=O)N(C)[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@@H]1C,-5.99,1,3.808400000000015,81,1119.6368545400005,0.4583750977330724,0.001671703570597,0.3287088359497288,-0.4583750977330724,14,3,3,253.04,10,5,11,-58.531887,-34.842396
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-6.03,1,2.9892000000000065,59,813.4788973560001,0.342792016949041,0.0016798283901974,0.2456755440274461,-0.342792016949041,8,3,2,159.75000000000003,6,2,7,-47.147858,-63.073246
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.93,1,3.22520000000001,58,807.525847548,0.3424960796265532,0.0016798283944608,0.245675664833509,-0.3424960796265532,10,3,1,159.75,6,2,7,0.08242581,-13.123395
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.38,1,3.723100000000009,61,841.510197484,0.3424316641236185,0.001679627793631,0.2456754627494844,-0.3424316641236185,10,3,2,150.96,5,1,7,2.4835377,-52.25676
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N1C,-5.33,1,2.833500000000009,57,793.510197484,0.3425042707155879,0.0016798273859746,0.2456756635075095,-0.3425042707155879,8,3,1,159.75000000000003,7,2,7,-28.916786,-22.15317
CC(C)C[C@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](C)C(=O)N1C,-6.04,1,2.647000000000008,58,799.463247292,0.342792016949041,0.0016798273817139,0.245675543015445,-0.342792016949041,8,3,2,168.54,6,3,7,-43.3519,-62.74337
CC(C)C[C@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C)C(=O)N1C,-5.63,1,3.3314000000000075,60,827.49454742,0.3421802064923669,0.0016798283944581,0.2456756645195106,-0.3421802064923669,8,3,2,150.96,6,1,7,-49.348038,-61.73579
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccccc2)CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.75,1,4.348700000000008,66,903.525847548,0.3507303749743316,0.0016798283901875,0.2456755427603623,-0.3507303749743316,10,3,3,177.33,7,4,7,-12.608695,-77.62142
C[C@H]1C(=O)N(Cc2ccccc2)CC(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N1C,-5.71,1,3.6518000000000033,57,770.37918332,0.3424318639455073,0.0016794292231999,0.2456469297660673,-0.3424318639455073,8,2,4,130.65,3,1,6,-9.250207,-69.57936
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C1=O,-6.07,1,3.6344000000000047,56,764.426133512,0.3507303665513187,0.0016794722481811,0.2456456978880503,-0.3507303665513187,10,2,3,148.23,4,3,6,-9.168302,-61.90507
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.2,1,3.22520000000001,58,807.525847548,0.3424960796265532,0.0016798283944608,0.245675664833509,-0.3424960796265532,10,3,1,159.75,6,2,7,3.0471687,-14.491602
C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N1C,-7.79,1,3.7316000000000056,65,881.447597228,0.3509754168806359,0.0016796277936284,0.245675462435486,-0.3509754168806359,8,3,4,159.75,5,2,7,-8.244951,-72.50238
CC(C)C[C@@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-6.15,1,2.9892000000000083,59,813.4788973560001,0.342791770405171,0.0016798283901974,0.2456755440274461,-0.342791770405171,8,3,2,159.75,6,2,7,-43.633022,-58.57632
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C1=O,-5.88,1,3.047700000000006,52,716.426133512,0.3427559810051525,0.0016794722481811,0.2456471312495781,-0.3427559810051525,10,2,2,148.23,4,3,6,-7.2955513,-45.455746
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccccc2)CC(=O)N[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,-5.56,1,4.104200000000008,63,869.5414976120001,0.350724028607205,0.0016798283901875,0.2456755427603623,-0.350724028607205,10,3,2,168.54000000000002,7,3,7,-38.106747,-43.406975
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,-5.57,1,2.9892000000000065,59,813.4788973560001,0.3425058614353887,0.0016796277936284,0.245675462435479,-0.3425058614353887,8,3,2,159.75,6,2,7,-48.462154,-63.071426
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.29,1,3.567400000000011,59,821.5414976120001,0.3421802064923643,0.0016798283944608,0.245675664833509,-0.3421802064923643,10,3,1,150.96,6,1,7,5.7484245,-15.015598
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N1C,-5.46,1,4.766800000000005,61,826.441783576,0.3507199173704085,0.0016712898589154,0.2456469297660723,-0.3507199173704085,10,2,4,139.44,4,2,6,-9.561047,-71.55024
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-6.26,1,2.540800000000008,56,779.49454742,0.3427559810074446,0.0016798273859772,0.2456756638215009,-0.3427559810074446,10,3,1,177.32999999999998,6,4,7,1.1308132,-21.14869
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.2,1,2.8920000000000066,50,696.45743364,0.3427479384150647,0.0016796718400882,0.2455554422014536,-0.3427479384150647,10,2,1,148.23,5,3,6,-3.5732017,-30.34545
CC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H](C)C(=O)N1C,-5.38,1,1.9120000000000053,49,684.4210481319999,0.5079666451555881,0.0018843202960062,0.2453397465260621,-0.5079666451555881,7,2,1,159.67000000000002,6,3,7,-18.075874,-5.4853425
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-5.89,1,3.487100000000006,62,847.463247292,0.3421802064923669,0.0016798283944581,0.2456756645195106,-0.3421802064923669,8,3,3,150.96,5,1,7,-23.160076,-80.64495
CC(C)C[C@@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N1C,-5.32,1,4.455400000000008,57,786.504383832,0.3507199159911186,0.0016714904449697,0.2455555637072776,-0.3507199159911186,10,2,2,139.44,6,2,6,-32.13036,-48.179703
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-6.77,1,2.540800000000008,56,779.49454742,0.3427559810074446,0.0016798273859772,0.2456756638215009,-0.3427559810074446,10,3,1,177.32999999999998,6,4,7,2.226062,-21.573847
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,-4.98,1,2.9982000000000038,52,716.426133512,0.3425058614330878,0.0016794292189319,0.2456471322639274,-0.3425058614330878,8,2,2,139.44,5,2,6,-29.079018,-60.624073
CCCCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](Cc2ccccc2)C1=O,-4.92,1,3.586900000000008,54,754.499298452,0.3787278186808301,0.0016794722465388,0.2454610406965291,-0.3787278186808301,16,2,1,157.45999999999998,4,3,7,7.079711,-37.528458
CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,-5.69,1,2.5003000000000064,49,682.441783576,0.342796071653534,0.0016716812903467,0.2455555626935919,-0.342796071653534,8,2,1,148.23,6,3,6,-15.975558,-10.440696
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.43,1,3.0477000000000043,52,716.426133512,0.3427476915780361,0.0016796718400882,0.2454610785072281,-0.3427476915780361,10,2,2,148.23,4,3,6,-7.376714,-45.1076
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.21,1,2.8920000000000066,50,696.45743364,0.3427479384150647,0.0016796718400882,0.2455554422014536,-0.3427479384150647,10,2,1,148.23,5,3,6,-3.5157285,-30.359049
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.74,1,3.4697000000000093,61,841.510197484,0.3507303665513187,0.0016798283944608,0.245675664833502,-0.3507303665513187,10,3,2,168.54,6,3,7,-1.061637,-54.926502
CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N1C,-4.93,1,2.833500000000008,57,793.510197484,0.3427920169490555,0.0016798283901974,0.2456755440274461,-0.3427920169490555,8,3,1,159.75,7,2,7,-32.03627,-16.67529
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.33,1,3.723100000000009,61,841.510197484,0.3424316641236185,0.001679627793631,0.2456754627494844,-0.3424316641236185,10,3,2,150.96,5,1,7,2.8433216,-50.877007
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.91,1,3.567400000000011,59,821.5414976120001,0.3421802064923643,0.0016798283944608,0.245675664833509,-0.3421802064923643,10,3,1,150.96,6,1,7,4.456238,-14.191035
CC(C)C[C@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N1C,-5.9,1,2.9892000000000065,59,813.4788973560001,0.342792016949041,0.0016798283901974,0.2456755440274461,-0.342792016949041,8,3,2,159.75,6,2,7,-48.339165,-64.2799
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-6.56,1,2.540800000000008,56,779.49454742,0.3427559810074446,0.0016798273859772,0.2456756638215009,-0.3427559810074446,10,3,1,177.32999999999998,6,4,7,2.2703054,-21.568968
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.65,1,2.883000000000009,57,793.510197484,0.3427479384173569,0.0016798273859772,0.2456756638215009,-0.3427479384173569,10,3,1,168.54,6,3,7,-0.47649783,-17.24061
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](C)C(=O)N1C,-5.45,1,3.584900000000004,56,764.426133512,0.350723940086794,0.0016794292231853,0.2456456978880503,-0.350723940086794,8,2,3,139.44,5,2,6,-20.735062,-76.22611
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.73,1,3.22520000000001,58,807.525847548,0.3427479384173569,0.0016798283944608,0.245675664833502,-0.3427479384173569,10,3,1,159.75,6,2,7,0.3918002,-16.578457
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.39,1,3.723100000000009,61,841.510197484,0.3424316641236185,0.001679627793631,0.2456754627494844,-0.3424316641236185,10,3,2,150.96,5,1,7,2.6255138,-52.230453
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.53,1,3.22520000000001,58,807.525847548,0.3427479384173569,0.0016798283944608,0.245675664833502,-0.3427479384173569,10,3,1,159.75,6,2,7,3.1844761,-19.547071
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.47,1,3.575900000000007,63,861.4788973560001,0.350975416880636,0.0016798283944581,0.2456756645195106,-0.350975416880636,8,3,3,159.75,6,2,7,-19.444004,-81.90821
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.81,1,2.883000000000009,57,793.510197484,0.3425042707188589,0.0016798273859772,0.245675663821508,-0.3425042707188589,10,3,1,168.54,6,3,7,-0.310894,-13.378768
CC(C)C[C@H]1C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,-5.03,1,2.8335000000000097,57,793.510197484,0.3424960782498592,0.0016798283944581,0.2456756645195106,-0.3424960782498592,8,3,1,159.75,7,2,7,-30.909636,-17.718493
CC(C)C[C@@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](C)C(=O)N1C,-4.84,1,3.1847000000000074,51,710.473083704,0.3421804063146458,0.0016796298234519,0.2455555637073643,-0.3421804063146458,8,2,1,130.65,6,1,6,-19.184381,-8.383547
CCCN1CC(=O)N(Cc2ccccc2)CC(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.6,1,3.3809000000000085,60,827.49454742,0.3425042707155879,0.0016798273859772,0.245675663821508,-0.3425042707155879,10,3,2,159.75,5,2,7,1.5330044,-49.56564
CC(=O)N1CCC[C@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CCc2ccccc2)C(=O)N[C@H](Cc2ccccc2)C(=O)N(C)[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@@H]1C,-5.58,1,3.241900000000016,81,1117.6212044760002,0.4583750977330724,0.0016717035709807,0.3287088359497288,-0.4583750977330724,15,3,3,253.04,10,5,11,-60.166832,-36.481983
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,2.8920000000000075,50,696.45743364,0.3425042707188682,0.0016796718443239,0.2454611983578898,-0.3425042707188682,10,2,1,148.23,5,3,6,-1.1281341,-27.76348
CC(C)C[C@H]1C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N1C,-5.86,1,2.149100000000008,55,765.4788973560001,0.3427920169533081,0.0016798273817139,0.245675543015445,-0.3427920169533081,8,3,1,177.33,7,4,7,-22.071693,-23.410812
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.31,1,3.723100000000008,61,841.510197484,0.3421802064923643,0.0016798283944608,0.245675664833509,-0.3421802064923643,10,3,2,150.96,5,1,7,2.5583317,-52.197636
