x,y,label,length,species,environment
-25.781097,13.509927,1,12,0,1
-36.013077,5.021002,0,4,0,1
32.72178,-1.1657565,0,52,0,0
35.684284,-20.564249,1,24,0,0
26.073725,4.719334,0,29,0,0
-32.911476,16.191088,0,9,0,0
43.741516,-7.787896,0,31,0,0
36.054745,-26.105618,1,38,0,0
35.43212,-26.91016,1,38,0,0
-29.015312,3.4375637,1,6,0,0
32.99778,15.26103,0,28,0,0
34.75833,15.52068,0,26,0,0
33.820908,15.837137,0,26,0,0
36.46414,-0.44994065,1,65,0,0
-30.046572,-14.34798,0,15,0,1
33.283657,-4.3905067,1,39,0,1
-12.460778,13.950234,0,15,0,1
-28.97618,11.195659,1,10,0,1
-27.693613,1.6614529,1,4,0,1
-29.535038,27.198584,1,21,0,1
28.359697,-20.246572,1,45,0,1
26.393726,17.348392,0,23,0,1
21.812355,-16.454954,1,30,0,1
36.09527,9.515782,0,32,0,1
-9.200026,4.259671,0,10,0,1
-5.6571035,5.1167974,0,12,0,1
-6.8543296,-17.246809,1,20,0,1
-32.371605,17.394854,1,13,0,1
40.346275,-6.065821,1,90,1,0
24.661154,0.49677876,1,32,1,0
44.757957,8.7211485,0,34,1,0
43.797573,7.2252207,0,51,1,0
-26.530766,-23.57114,0,24,1,0
17.693909,-8.282425,0,25,1,0
-33.21605,0.42507285,0,5,1,0
-33.76017,7.1811323,0,6,1,0
-14.922319,8.879704,1,8,1,0
29.345585,-17.5715,1,36,1,0
-4.8913584,11.351507,0,14,1,0
0.5407215,36.084927,0,21,1,0
42.788895,-6.3948636,1,39,1,0
19.42773,30.133905,0,23,1,0
-23.693203,5.819918,0,7,1,0
38.610382,-9.259883,0,40,1,0
42.63497,-5.0927806,1,46,1,0
35.42111,1.9261853,1,56,1,0
29.776733,25.968897,0,34,1,0
26.968311,6.510705,0,26,1,0
-8.30335,-15.683525,1,13,1,0
16.304976,-5.7940183,0,21,1,0
-24.570955,-6.4418483,1,11,1,0
0.6257718,40.23018,1,19,1,0
-35.31003,18.753307,1,8,1,0
-35.4093,-5.629505,0,6,1,1
-35.495037,-6.3986993,0,6,1,1
21.440332,10.800954,1,36,1,1
-23.336756,21.986103,0,17,1,1
-13.801032,-18.304354,1,10,1,1
-40.763012,4.040898,0,2,1,1
-23.805796,18.700579,1,13,1,1
-15.539156,4.4844036,0,10,0,1
-5.967129,-17.688566,1,20,0,1
-3.5457664,-23.853672,1,13,0,1
-21.301767,1.4011865,1,8,1,1
-25.785278,13.525198,1,12,0,1
34.838425,-22.348543,1,37,0,0
27.36967,-31.05361,1,28,0,0
29.157314,3.7527266,0,44,0,0
-13.396481,0.88587606,0,10,0,0
46.908287,-1.5950377,0,37,0,0
-25.436815,1.2860107,0,9,0,0
36.07072,-27.008183,1,38,0,0
12.575287,6.335114,0,27,0,0
-36.409054,7.19092,1,5,0,0
23.939434,1.7286631,0,28,0,0
22.332005,-16.593166,0,30,0,0
2.641626,8.392545,1,15,0,1
36.99535,10.568209,0,27,0,1
-29.707695,26.869518,1,20,0,1
-44.23449,-23.430517,0,6,0,1
-43.68801,-24.226444,1,8,0,1
22.145164,-15.318722,1,30,0,1
-25.117273,-1.4238172,0,5,1,0
22.601957,-17.228415,1,30,0,1
-25.141954,10.96621,1,8,0,1
-24.399576,-8.248851,0,9,0,1
36.443893,-3.6802175,0,58,0,1
-3.978067,-45.129498,0,21,0,1
-6.1093216,-45.485767,0,21,0,1
-5.0699286,-45.31317,1,21,0,1
-4.607987,4.5523295,0,12,0,1
34.68319,-21.093966,1,32,1,0
-24.771164,-6.71908,0,9,1,0
45.21891,8.419773,0,34,1,0
15.108466,-5.522931,0,21,1,0
-22.650433,-10.475066,1,11,1,0
33.24382,-17.88178,0,34,1,0
3.921714,8.773873,1,18,1,0
29.75839,26.098818,0,33,1,0
-27.675383,-24.733503,1,15,1,0
33.35038,13.8746,0,26,1,0
23.939695,29.284283,0,29,1,0
42.254307,7.862384,0,39,1,0
42.17491,7.8103027,0,39,1,0
44.643692,6.8939977,0,46,1,0
37.630264,-10.715242,0,41,1,0
-26.257116,-8.309137,0,12,1,0
32.647583,0.04179511,0,50,1,0
-0.31712684,39.92193,1,19,1,0
0.6644326,40.910255,1,19,1,0
-22.349308,-17.39272,0,20,1,0
-36.696964,-7.9911594,1,8,1,1
-37.03091,-8.99807,1,8,1,1
-38.508965,-6.9735475,1,8,1,1
-0.7170698,-21.80222,1,14,1,1
-20.536158,-0.64617956,0,6,1,1
-0.8477374,3.620036,0,16,1,1
-13.399812,-18.169489,1,10,1,1
-39.98892,2.7311049,0,2,1,1
-42.02029,4.4311748,0,2,1,1
-20.277546,-11.618064,0,16,1,1
-5.8681064,-5.59322,1,12,1,1
-17.437418,-14.091101,0,17,1,1
-36.51764,18.091785,1,8,1,1
-39.249825,3.3457477,0,3,0,1
-4.7282906,-26.969765,0,10,0,0
-2.7388165,-11.106764,0,21,0,1
-27.222206,14.770924,0,14,0,1
-15.549635,-13.793201,0,12,0,1
41.918404,5.1389756,0,39,0,0
34.6446,-15.841716,0,33,0,0
-4.8302994,8.734805,1,14,0,0
21.457502,-14.284651,0,29,0,0
-23.116085,-10.384228,1,5,0,0
-19.915262,-5.054706,0,12,0,0
34.674786,-25.61787,1,38,0,0
34.335316,-27.557245,1,38,0,0
-23.25926,6.007736,0,8,0,0
-27.077663,2.5761142,0,5,0,0
48.437477,-0.4657132,1,32,0,0
33.282433,-4.3987155,0,39,0,0
-33.781906,13.9302435,1,7,0,0
2.9460783,8.412346,0,15,0,1
18.15758,-7.8018904,1,25,0,1
-12.642437,9.3341875,0,6,0,1
-12.045228,9.441692,0,6,0,1
-14.463673,9.777152,0,6,0,1
-12.950782,9.321774,1,6,0,1
-44.096527,-24.531994,1,8,0,1
30.238348,-13.635094,1,42,0,1
-24.879145,9.828031,0,11,0,1
23.592922,-8.800156,0,29,0,1
-24.08655,-8.245046,0,10,0,1
-9.224262,4.300591,0,9,0,1
-4.3883824,3.9121459,0,12,0,1
41.162376,-2.3546357,0,39,1,0
-23.467415,5.964874,1,7,1,0
31.524456,-13.233381,0,40,1,0
-2.7795465,36.475502,0,18,1,0
21.07152,27.59375,0,27,1,0
19.708086,29.25393,0,25,1,0
-35.97158,16.939888,0,8,1,0
22.26828,28.78822,0,28,1,0
22.144917,28.354725,0,29,1,0
23.092533,28.174038,0,30,1,0
20.487774,25.827202,0,27,1,0
22.451384,26.093285,0,31,1,0
19.337048,27.463675,0,26,1,0
42.111057,7.4523053,0,39,1,0
15.288034,-15.349258,0,23,1,1
-10.3521185,9.2922735,1,11,0,1
1.0776938,39.227802,1,19,1,0
1.4380938,39.95049,1,19,1,0
-28.96888,6.3085,0,7,1,0
37.978065,-2.9291887,0,45,1,0
32.82883,16.668825,0,24,1,0
34.787197,0.1997038,0,71,1,0
34.773804,1.0818044,0,70,1,0
-30.606565,2.8293345,0,6,1,0
-38.018536,-8.736729,1,8,1,1
-24.290718,21.43433,0,13,1,1
-0.52603954,-22.115868,1,14,1,1
-13.795883,-19.969614,0,10,1,1
-24.19429,8.335287,1,7,0,1
-7.0151377,-8.666559,0,13,0,0
21.765226,-0.19919369,0,27,0,0
24.493168,-0.7629807,0,31,0,0
31.32966,-20.2815,1,37,0,0
28.245028,-31.345295,0,31,0,0
-19.894785,-5.0488434,0,12,0,0
32.52756,-1.6605555,0,52,0,0
34.659687,11.520357,0,29,0,0
34.6336,-26.85879,1,38,0,0
19.969559,-16.204044,0,30,0,0
38.210705,-4.511843,1,76,0,0
38.284077,-6.1721168,0,42,0,0
-22.085327,6.607091,1,8,0,0
-30.29796,-15.132282,1,15,0,1
-33.308727,-20.231531,1,15,0,1
-29.973415,-10.726612,0,15,0,1
6.9869313,-15.677818,1,25,0,1
-14.3647,10.6113825,0,9,0,1
18.336147,-8.358317,1,25,0,1
-28.986801,11.202144,0,11,0,1
-33.237427,19.744675,1,18,0,1
-28.169615,27.310596,1,18,0,1
-29.197113,25.152554,1,14,0,1
-12.079828,9.6065445,1,6,0,1
21.209143,-16.857153,1,30,0,1
21.557535,-17.45862,1,30,0,1
33.675034,12.578493,0,26,0,1
-24.358534,-15.27302,1,18,0,1
-18.422293,-5.1337023,1,12,0,1
-30.66798,1.8359095,0,5,0,1
-6.0075097,2.4654562,0,7,0,1
-5.90313,2.665081,0,8,0,1
-28.238083,6.705984,0,4,0,1
-27.348526,27.252998,1,18,0,1
20.311886,-0.4769448,1,20,0,1
-5.374411,-44.304,0,21,0,1
34.765842,-21.057821,1,32,1,0
-3.9474869,8.301321,0,12,1,0
43.8653,7.143697,0,51,1,0
30.582666,-17.69774,1,35,1,0
15.915181,-5.5159593,1,22,0,1
-6.172738,1.8457751,0,7,1,0
-19.80562,-11.443807,0,18,1,0
-23.753162,-15.334949,0,14,1,0
17.968668,31.730902,0,23,1,0
18.18146,24.021454,0,21,1,0
33.845562,15.335647,0,28,1,0
18.716282,24.31648,0,23,1,0
21.815454,29.258112,0,29,1,0
22.078081,26.249847,0,31,1,0
36.104908,-6.741804,0,35,1,0
37.67823,-5.5737624,0,60,1,0
-37.443203,-6.776495,0,8,1,1
-38.4009,-8.178352,1,8,1,1
35.789234,-5.8995867,0,31,1,1
-6.6368594,-8.638698,0,12,1,1
-26.18973,22.063366,0,14,1,1
-24.969183,-12.710579,0,13,0,1
-19.9595,-6.282443,1,17,1,1
-3.8322692,-26.073181,1,12,0,1
-3.201054,-24.448545,1,13,0,1
-3.0312073,-24.168215,1,13,0,1
-15.241212,-14.111178,0,12,0,1
41.320866,-0.9814587,0,32,0,0
25.39215,0.062220454,0,38,0,0
28.819693,-14.182913,0,28,0,0
36.09635,9.489301,0,32,0,0
23.535826,-8.732376,0,29,0,0
-25.926086,9.689492,0,9,0,0
29.163088,-18.781488,1,39,0,0
33.593178,-18.002695,0,36,0,0
35.45153,-27.82773,1,38,0,0
23.825052,-14.107395,0,27,0,0
-24.14499,-1.9272436,1,10,0,0
-21.739985,13.205018,0,20,0,0
26.710827,4.8097377,0,30,0,0
-32.468254,-19.755774,1,15,0,1
-29.283981,-11.006134,0,15,0,1
-29.761135,-13.719811,0,15,0,1
2.7149985,8.97275,0,15,0,1
-30.111687,27.518984,1,22,0,1
-10.02839,-19.898556,1,15,0,1
32.138905,5.465237,0,27,0,1
-15.290955,9.125256,0,6,0,1
-44.584038,-24.339333,1,6,0,1
-11.610326,10.835312,1,8,0,1
-25.141603,-1.4277158,0,5,0,1
22.704542,-15.359942,1,30,0,1
22.930029,-16.676514,1,30,0,1
-10.63227,-9.554903,1,11,0,1
33.933052,12.130194,0,28,0,1
-25.64057,-5.862355,1,7,0,1
34.07806,2.8519905,1,30,0,1
-33.292225,1.0065172,0,5,0,1
-23.186625,1.100919,1,6,0,1
-5.653501,-46.260765,0,21,0,1
-4.377366,-45.711742,1,21,0,1
33.28077,9.331066,0,28,0,1
-4.7908993,4.7086444,1,12,0,1
12.617008,8.127942,0,21,1,0
-18.79141,7.6822343,1,10,1,0
-24.369043,20.67333,0,13,1,0
-2.8015137,36.50269,0,18,1,0
29.952366,26.341322,0,35,1,0
20.030567,31.27881,0,25,1,0
-19.974617,-11.669437,0,17,1,0
24.139149,31.079096,0,27,1,0
17.112335,22.796326,0,21,1,0
25.158772,28.876583,0,29,1,0
25.0539,29.30574,0,29,1,0
24.78809,29.755844,0,29,1,0
-26.08676,-9.778331,0,9,1,0
29.855497,-17.507204,1,36,1,0
0.13471122,41.201153,0,19,1,0
-1.3477707,39.874557,1,19,1,0
32.104805,-3.0943143,1,45,1,0
14.261165,8.867983,0,31,1,1
-40.64479,1.4656026,0,2,1,1
35.71882,7.024584,1,36,0,1
31.682888,3.9461188,0,40,0,1
-27.810211,22.857141,1,14,0,1
-2.5821917,7.1830354,0,13,0,0
-12.101322,-2.817501,1,9,0,1
-16.093498,-13.989463,0,12,0,1
-31.154112,-3.990388,1,8,0,1
32.682602,-20.924006,1,50,0,0
-33.545055,7.3898993,1,7,0,0
-24.388145,20.640047,0,13,0,0
-4.921338,11.423834,0,14,0,0
36.497807,-28.78202,1,38,0,0
36.390675,-27.829622,1,38,0,0
-33.15535,-0.93574363,0,8,0,0
38.11088,1.8429985,1,58,0,0
-30.623081,-16.929712,0,15,0,1
-30.341671,-21.81152,0,15,0,1
-30.964746,26.129416,1,15,0,1
6.9980216,-15.668019,1,25,0,1
2.3994644,8.879264,0,15,0,1
17.665283,-7.465267,1,25,0,1
-27.581114,0.62494504,0,4,0,1
-25.53344,9.678616,0,9,0,1
-26.537409,-8.583923,0,9,0,1
6.1136866,-15.787529,1,26,0,1
-43.73924,-23.625555,1,6,0,1
-11.742148,13.545969,0,11,0,1
35.05842,1.0902165,1,70,0,1
-27.338139,-6.804932,1,11,0,1
42.3543,-6.9124913,0,39,1,0
31.199509,-7.8645563,1,38,1,0
45.747322,7.601171,0,34,1,0
46.042244,8.079697,0,34,1,0
-3.5555725,40.232285,0,19,1,0
-9.097427,13.509485,1,17,1,0
-31.210176,-9.870749,1,12,1,0
25.246191,-1.1184659,0,31,1,0
40.07948,-3.4272778,0,54,1,0
43.673603,-6.459386,1,40,1,0
-23.532576,-15.363475,0,15,1,0
-27.602015,-25.763311,1,15,1,0
-0.91047984,-15.01054,0,20,1,0
30.856367,-5.6131077,1,27,1,0
27.09642,31.418118,0,29,1,0
26.266365,29.902416,0,29,1,0
25.53293,30.390402,0,29,1,0
26.22933,29.204588,0,31,1,0
34.668457,-15.35517,1,33,1,0
-1.4380559,41.44289,1,19,1,0
-0.2108641,42.29554,0,19,1,0
29.8508,-12.114042,1,37,1,0
42.495335,-6.9248266,0,39,1,0
32.43565,-8.487772,1,32,1,0
26.249426,4.3899975,0,29,1,0
28.96269,3.7453244,0,40,1,0
-35.391853,-8.672149,1,8,1,1
15.633386,-15.400844,0,23,1,1
-22.020824,2.0772963,0,6,1,1
41.48461,9.306598,0,30,1,1
-12.629214,-18.98448,0,10,1,1
-6.2723665,-8.522174,0,14,1,1
-5.0943637,-27.02484,1,8,1,1
-15.553388,4.4701614,1,10,0,1
-10.62216,-9.552482,0,11,0,0
-6.722152,-24.369408,1,10,0,1
-4.3708506,-24.32164,1,13,0,1
-16.261444,-13.511002,0,12,0,1
-5.1683083,-18.002823,1,20,0,0
-16.73984,8.700178,0,8,0,0
16.163734,-15.488112,1,24,0,1
37.068207,-28.121643,1,38,0,0
45.836346,-1.7910527,0,37,0,0
-11.48848,8.388964,0,6,0,0
26.971394,-13.836671,0,27,0,0
30.114899,-2.0135543,0,37,0,0
32.449394,14.93498,0,28,0,0
48.12886,-1.5913782,0,37,0,0
-36.53932,14.977502,0,9,0,0
-30.359426,-21.687912,0,15,0,1
-6.8325105,-17.295712,1,20,0,1
22.636887,-8.092948,1,26,0,1
19.324455,-0.82831234,1,20,0,1
-30.723742,28.853813,1,21,0,1
30.129772,-13.549953,1,42,0,1
-25.585934,4.8743453,0,13,0,1
26.5039,-0.063469194,0,38,0,1
-24.686764,-8.360687,0,10,0,1
-34.22596,-6.7640862,1,8,0,1
34.791294,3.70258,1,29,0,1
-3.6243446,-22.017927,1,10,0,1
-32.983562,16.630268,1,9,0,1
-3.5240357,-46.372948,1,21,0,1
33.277863,9.313247,0,28,0,1
-19.100811,7.4200625,0,14,1,0
36.4313,7.890057,0,34,1,0
-33.16135,12.878279,1,8,1,0
16.266495,22.219515,0,19,1,0
-28.082378,-23.902386,1,15,1,0
-28.915785,-2.6811879,0,5,1,0
26.477571,30.705364,0,29,1,0
27.148489,28.053421,0,29,1,0
24.65789,25.397354,0,31,1,0
-26.542366,0.43982464,0,7,1,0
24.043406,-15.780976,0,37,1,0
-1.5063231,42.17848,1,19,1,0
35.765533,-0.51881826,0,76,1,0
29.588758,-16.74594,1,37,1,0
-30.817472,1.4639987,0,5,1,0
-37.019512,19.30201,1,8,1,0
-35.56588,19.325392,1,8,1,0
-36.137264,18.859596,1,8,1,0
-36.092052,-9.195335,1,8,1,1
25.923002,21.284729,1,29,1,1
-22.10738,1.9994401,0,6,1,1
-20.526226,-0.62433296,1,6,1,1
-12.523187,-18.098192,0,10,1,1
-13.5573225,-20.277359,0,10,1,1
-24.129753,19.47525,0,13,1,1
-5.1395426,-27.03925,1,8,1,1
-10.930948,-19.606468,0,14,0,1
-3.6036308,-18.319319,1,20,0,1
-4.6032696,-23.96474,1,13,0,1
-12.097608,-2.822443,0,9,0,1
-27.239475,14.794884,1,14,0,1
-25.400078,-11.464145,0,11,0,0
35.761875,-28.407627,1,38,0,0
35.225925,-29.14621,1,38,0,0
46.777943,-1.6504738,0,37,0,0
-24.891907,-10.564176,1,15,0,1
-32.804173,-20.89232,0,15,0,1
14.293499,8.881632,0,32,0,1
26.606123,17.763187,1,27,0,1
-2.196965,7.258737,0,14,0,1
21.333862,10.385301,1,35,0,1
-1.3286504,-16.08239,1,18,0,1
-28.098444,0.9538016,0,4,0,1
-1.7568772,-12.297567,1,20,0,1
-30.347864,26.593271,1,16,0,1
-13.513528,-0.2800257,0,12,0,1
-30.692064,29.153606,1,25,0,1
-44.67322,-23.84133,0,6,0,1
23.022182,-15.301404,1,30,0,1
25.982624,-0.17779244,0,38,0,1
26.111307,0.4771376,0,38,0,1
-32.345524,3.551858,0,4,0,1
26.576593,-30.551535,1,27,0,1
-4.366814,39.902893,1,18,0,1
-4.872114,-46.234764,1,21,0,1
31.286509,-7.885205,1,31,1,0
-15.835228,-6.278949,0,22,1,0
36.778427,-26.838282,1,37,1,0
36.294235,15.472694,1,28,1,0
-18.496405,-13.349715,1,22,1,0
24.143503,-17.457478,1,41,1,0
32.97751,-21.68601,1,38,1,0
-4.2274756,10.44481,0,13,1,0
-5.441841,-6.619015,1,12,1,0
-23.16608,14.401064,0,16,1,0
26.142572,28.259798,0,31,1,0
-27.636917,-25.444464,1,15,1,0
24.279825,31.677752,0,25,1,0
37.131203,-3.4267278,0,58,1,0
-16.286942,-7.409004,0,16,1,0
-22.890495,15.712183,0,20,1,0
-1.824371,40.55317,1,19,1,0
0.92668265,42.403313,1,19,1,0
-0.92216307,40.569763,1,19,1,0
-0.5685602,41.348915,1,19,1,0
37.539738,-27.287308,1,38,1,0
-41.81409,4.2298703,0,3,1,0
-37.02,18.828115,1,8,1,0
-35.708168,-8.293204,1,8,1,1
25.654175,21.28771,1,37,1,1
-0.9117852,-21.603329,1,14,1,1
-12.918013,-18.951742,0,10,1,1
-40.95349,2.3623483,0,2,1,1
-34.79132,4.7313137,0,4,0,1
9.528117,-12.194855,1,25,1,1
-2.3825665,7.1497846,1,13,0,1
-35.149338,4.5015974,0,4,0,1
-15.834917,-13.226302,0,12,0,1
34.71113,-15.382523,0,33,0,0
-26.888968,7.912805,1,5,0,0
38.097942,-10.613041,0,41,0,0
38.107765,-10.593984,0,41,0,0
32.8043,-12.219955,0,34,0,0
38.124184,1.7832302,1,70,0,0
-31.039038,-18.90693,0,15,0,1
-30.697079,-17.22995,0,15,0,1
-31.399609,-19.569754,0,15,0,1
27.0695,17.07955,1,18,0,1
-1.7513053,6.6191406,0,12,0,1
-16.986023,15.459236,0,12,0,1
-16.992096,15.474042,0,12,0,1
-1.4350082,-17.291113,0,18,0,1
-28.169659,0.1626479,1,4,0,1
-25.782412,-4.170487,0,8,0,1
-11.1153755,13.276582,1,11,0,1
41.77145,-7.35187,1,39,0,1
42.789967,2.4960945,1,48,0,1
-12.885758,-1.4589626,0,13,0,1
-31.841589,3.0191393,0,5,0,1
-28.619173,22.695517,1,14,0,1
-5.723587,5.6107764,0,12,0,1
-5.4129133,-47.499874,0,21,0,1
-2.960972,-47.74526,1,21,0,1
-4.525861,-48.11562,0,21,0,1
-4.2191315,-47.114277,0,21,0,1
-4.2191315,-47.114277,1,21,0,1
-4.2191315,-47.114277,0,21,0,1
-13.915562,0.16017757,0,7,0,1
-0.71818477,-12.434866,1,22,1,0
-0.15619199,7.8803883,0,12,1,0
-33.18727,-9.025823,1,7,1,0
1.2435945,34.131012,1,21,1,0
28.193682,16.376467,1,22,1,0
21.197468,9.754855,1,34,1,0
26.990946,30.247196,0,29,1,0
26.025326,31.766594,0,27,1,0
-28.234735,-23.879835,1,15,1,0
30.11092,-1.9947743,0,37,0,0
16.586538,22.3255,0,19,1,0
24.947912,24.097168,0,29,1,0
28.809614,31.30069,0,28,1,0
28.773897,29.47112,0,33,1,0
28.733139,29.47564,0,34,1,0
-28.633518,-0.36480117,0,5,1,0
-2.9745739,42.102646,1,18,1,0
-0.93946415,42.643036,1,19,1,0
-16.036348,-7.8610644,0,13,1,0
35.43569,0.73585856,1,70,1,0
-1.598559,-22.145216,1,11,1,1
-20.596956,2.6173456,0,6,1,1
-20.572054,2.733634,1,6,1,1
-12.281709,-18.214357,0,10,1,1
-5.7662473,-5.832573,1,14,1,1
-39.93137,2.1760905,0,3,1,1
-1.758552,-13.206296,0,19,1,1
-34.999134,3.5774088,1,4,0,1
-3.60515,-18.30664,1,20,0,1
-4.820326,-23.852417,1,13,0,1
